object_id,timestamp,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,0
22049,2025-03-26 07:38:11.024496+00:00,37567.8766420304,-31957.63296178307,-39256.51761586286,2.866788005706752,0.9967844411747767,0.5394268242527596,
22049,2025-03-26 07:38:41.024496+00:00,37653.92482777454,-31927.705609821685,-39240.3168159131,2.8649917163257816,0.9983085567381714,0.5413002937360656,
22049,2025-03-26 07:39:11.024496+00:00,37739.919062911955,-31897.732567283645,-39224.059823400356,2.8631935548856187,0.9998293511990157,0.54317066310135,
22049,2025-03-26 07:39:41.024496+00:00,37825.85929145362,-31867.71393385085,-39207.74673141263,2.8613935334070173,1.001346826563397,0.5450379323724115,
22049,2025-03-26 07:40:11.024496+00:00,37911.745457772806,-31837.64980914401,-39191.377633036456,2.859591663884733,1.0028609848602208,0.5469021016009468,
22049,2025-03-26 07:40:41.024496+00:00,37997.57750659986,-31807.540292723388,-39174.952621356766,2.8577879582875423,1.0043718281410083,0.5487631708663363,
22049,2025-03-26 07:41:11.024496+00:00,38083.3553830265,-31777.3854840863,-39158.471789455136,2.8559824285580513,1.0058793584798384,0.5506211402756205,
22049,2025-03-26 07:41:41.024496+00:00,38169.079032502086,-31747.18548266762,-39141.93523040956,2.8541750866126954,1.0073835779731644,0.5524760099633075,
22049,2025-03-26 07:42:11.024496+00:00,38254.748400832395,-31716.94038783925,-39125.34303729377,2.852365944341661,1.008884488739662,0.5543277800912336,
22049,2025-03-26 07:42:41.024496+00:00,38340.36343418003,-31686.650298908862,-39108.69530317598,2.850555013608801,1.0103820929201246,0.5561764508484673,
22049,2025-03-26 07:43:11.024496+00:00,38425.92407906435,-31656.315315119162,-39091.992121118106,2.848742306251537,1.0118763926773275,0.5580220224511888,
22049,2025-03-26 07:43:41.024496+00:00,38511.43028235886,-31625.935535647797,-39075.23358417527,2.8469278340808337,1.0133673901958722,0.5598644951425289,
22049,2025-03-26 07:44:11.024496+00:00,38596.88199129028,-31595.511059606764,-39058.419785395025,2.84511160888113,1.0148550876820346,0.5617038691924316,
22049,2025-03-26 07:44:41.024496+00:00,38682.27915344203,-31565.041986040185,-39041.550817815594,2.843293642410181,1.016339487363717,0.5635401448976252,
22049,2025-03-26 07:45:11.024496+00:00,38767.62171674641,-31534.528413926317,-39024.62677446668,2.84147394639914,1.0178205914901761,0.5653733225813323,
22049,2025-03-26 07:45:41.024496+00:00,38852.90962948985,-31503.970442174552,-39007.64774836724,2.83965253255236,1.0192984023320077,0.5672034025932869,
22049,2025-03-26 07:46:11.024496+00:00,38938.142840308115,-31473.368169626334,-38990.613832525654,2.8378294125474164,1.0207729221809305,0.5690303853095063,
22049,2025-03-26 07:46:41.024496+00:00,39023.3212981892,-31442.721695053257,-38973.52511993819,2.8360045980349664,1.0222441533497155,0.5708542711322458,
22049,2025-03-26 07:47:11.024496+00:00,39108.44495246896,-31412.031117157425,-38956.38170358867,2.834178100638757,1.0237120981720063,0.5726750604898073,
22049,2025-03-26 07:47:41.024496+00:00,39193.513752831124,-31381.296534570905,-38939.18367644792,2.8323499319555485,1.0251767590021716,0.5744927538364077,
22049,2025-03-26 07:48:11.024496+00:00,39278.52764930961,-31350.51804585377,-38921.93113147213,2.8305201035549863,1.02663813821525,0.5763073516521351,
22049,2025-03-26 07:48:41.024496+00:00,39363.48659228364,-31319.69574949494,-38904.624161602966,2.828688626979628,1.028096238206728,0.5781188544427233,
22049,2025-03-26 07:49:11.024496+00:00,39448.39053247795,-31288.829743911225,-38887.26285976644,2.826855513744859,1.029551061392437,0.5799272627394563,
22049,2025-03-26 07:49:41.024496+00:00,39533.23942096448,-31257.920127445956,-38869.84731887194,2.8250207753387904,1.0310026102084522,0.5817325770990817,
22049,2025-03-26 07:50:11.024496+00:00,39618.03320915827,-31226.966998369357,-38852.37763181191,2.823184423222257,1.0324508871109097,0.5835347981036249,
22049,2025-03-26 07:50:41.024496+00:00,39702.77184881875,-31195.970454877213,-38834.853891460654,2.8213464688287346,1.0338958945759087,0.5853339263602998,
22049,2025-03-26 07:51:11.024496+00:00,39787.45529204675,-31164.930595091202,-38817.27619067417,2.819506923564317,1.03533763509934,0.5871299625013381,
22049,2025-03-26 07:51:41.024496+00:00,39872.08349128672,-31133.84751705714,-38799.64462228871,2.8176657988076026,1.0367761111968012,0.5889229071839205,
22049,2025-03-26 07:52:11.024496+00:00,39956.656399324114,-31102.721318744858,-38781.95927912027,2.8158231059096828,1.0382113254034497,0.590712761090027,
22049,2025-03-26 07:52:41.024496+00:00,40041.173969284806,-31071.552098047818,-38764.22025396402,2.8139788561940766,1.0396432802738547,0.5924995249262975,
22049,2025-03-26 07:53:11.024496+00:00,40125.636154633125,-31040.339952782757,-38746.4276395937,2.812133060956716,1.0410719783818585,0.5942831994238893,
22049,2025-03-26 07:53:41.024496+00:00,40210.04290917264,-31009.08498068859,-38728.581528760486,2.810285731465846,1.04249742232047,0.5960637853383857,
22049,2025-03-26 07:54:11.024496+00:00,40294.3941870462,-30977.78727942545,-38710.682014192134,2.8084368789619742,1.0439196147017502,0.5978412834496866,
22049,2025-03-26 07:54:41.024496+00:00,40378.68994273093,-30946.4469465758,-38692.72918859324,2.8065865146578965,1.045338558156604,0.5996156945617893,
22049,2025-03-26 07:55:11.024496+00:00,40462.93013104215,-30915.064079641936,-38674.72314464326,2.8047346497385632,1.0467542553347386,0.6013870195027702,
22049,2025-03-26 07:55:41.024496+00:00,40547.11470713071,-30883.638776046213,-38656.66397499644,2.8028812953610553,1.0481667089044977,0.6031552591246141,
